"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ARROZ E CIA BLUE VILLE AÇAFRÃO 250G",214,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZACAFRAO576.jpg",3.29,0,"1654631330.043019"
"ARROZ ARBÓRIO BLUE VILLE CULINÁRIA ITALIANA 1KG",215,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZJARBORIO576.jpg",13.69,0,"1654631335.154785"
"ARROZ BLUE VILLE ENRIQUECIDO COM FERRO 1KG",216,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZFERRO576.jpg",5.99,0,"1654631340.47605"
"ARROZ BRANCO BLUE VILLE TIPO 1 1KG",217,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZBRANCO576.jpg",4.49,7,"1654631345.594857"
"ARROZ JAPONÊS MOMIJI LONGO 1KG",218,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/f5236d92-223f-488b-b70c-30bffb50973d.jpg",9.79,6,"1654631346.581891"
"ARROZ JAPONÊS MOMIJI LONGO 5KG",219,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/c84de101-063b-4e7f-ae4e-5d6222c27eb6.jpg",47.90,9,"1654631349.778773"
"ARROZ BRANCO MINUTO CASEIRO CAMIL 240G",220,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/a409801d-09b7-472e-b868-b369c4bdae37.jpg",7.99,0,"1654631352.833035"
"ARROZ INTEGRAL MINUTO CASEIRO CAMIL 240G",221,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/02b51648-4b50-4120-8442-11393beb9483.jpg",7.99,0,"1654631357.910936"
"ARROZ AGULHINHA TIPO 1 LONGO FINO CAMIL RESERVA ESPECIAL 5KG",222,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ed3d3765-111e-4a1d-9b1c-ffb50cb201a6.jpg",28.99,0,"1654631362.983783"
"ARROZ POLIDO LONGO FINO PRATO FINO TIPO 1 5KG",223,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/eafd2cc7-f20a-4c1b-bb38-72a53770d12f.jpg",27.99,0,"1654631370.163907"
